concept,t_count,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25
judicial,84,17,0.04214751630707475,25.812688671167496,0.044915742638547806,1.0,,0.003745318352059925,0.034482758620689655,,0.004830917874396135,0.02702702702702703,0.05555555555555555,,0.4285714285714286,,0.07407407407407407,,0.020833333333333332,0.04081632653061224,0.07758620689655173,0.07692307692307693,,,0.01694915254237288,0.59375,0.2686567164179104,,0.0819672131147541,0.023809523809523808,,0.009009009009009009
lawEnforcement,25,5,0.012543903662819869,0.7160033436347992,0.008981476964811832,1.0,,0.018726591760299626,,,,,,,,,0.07407407407407407,,,0.02040816326530612,0.1206896551724138,,,,,,0.029850746268656716,,,,,
media,6,4,0.0030105368790767683,3.642860052584491,0.003655654844540383,1.0,,,0.017241379310344827,,,,,,,,0.07407407407407407,,,0.02040816326530612,,0.02564102564102564,,,,,,,,,,
opinionPolls,4,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,4.0,0.06153846153846154,,,,,,0.1111111111111111,,,,,,,,,,,,,,,0.07476635514018691,,,,
presidentDonaldTrump,147,19,0.07375815353738083,0.136219747017989,0.010047317015376006,0.2,0.009230769230769232,,0.027586206896551724,0.025974025974025972,0.019323671497584544,,0.005555555555555556,,,0.017777777777777778,0.022222222222222223,,,0.03469387755102041,0.01724137931034483,0.046153846153846156,,0.0033333333333333335,0.05084745762711865,0.018750000000000003,0.005970149253731343,0.009345794392523364,0.006557377049180329,0.026190476190476195,0.03838383838383838,0.007207207207207207
privacy,19,5,0.0095333667837431,4.881742141499628,0.010642343741724522,1.0,,0.033707865168539325,,,,,,0.15384615384615385,,,,0.010309278350515464,,,,,,,,,,,0.03278688524590164,,0.010101010101010102,
republican,161,14,0.08078273958855994,20.004089820718175,0.07915110503570957,0.2,0.0953846153846154,0.0044943820224719105,,0.018181818181818184,0.03864734299516907,,,,0.02142857142857143,,,,,0.004081632653061224,,,0.013793103448275862,0.0033333333333333335,0.013559322033898306,,0.0029850746268656717,0.028037383177570093,0.022950819672131154,,0.03838383838383839,0.04144144144144144
russiaElectionInterference,61,6,0.030607124937280475,13.531283072192048,0.03449049631448751,5.0,,0.24344569288389514,,,0.024154589371980676,,,,,,1.2962962962962963,,,1.2755102040816326,0.47413793103448276,,,,,,0.29850746268656714,,,,,
trumpOpposition,2,1,0.0010035122930255895,1.414973347970818,0.0014199431489922908,1.0,,,,,,,,,,,,,,,,,,,0.03389830508474576,,,,,,,
trumpStaff,116,11,0.058203712995484186,15.935261035861403,0.06668768354459327,1.0,0.046153846153846156,,0.1724137931034483,0.23376623376623373,0.06763285024154589,,,,,,0.2222222222222222,,,0.15306122448979592,0.23275862068965514,0.05128205128205128,,,0.288135593220339,,0.029850746268656716,,,0.023809523809523808,,
unitedStates,83,19,0.04164576016056195,20.50497779739559,0.042787416880778466,0.01,,0.00018726591760299626,0.0001724137931034483,,0.0002898550724637681,0.0032432432432432435,0.0011111111111111111,0.0002564102564102564,0.00035714285714285714,0.0013333333333333333,,0.0005154639175257732,0.0008333333333333333,,8.620689655172414e-05,0.0002564102564102564,,0.00016666666666666666,,,0.00044776119402985075,0.0005607476635514018,0.0006557377049180328,0.00035714285714285714,0.0004040404040404041,0.0013513513513513512
violenceCrime,28,1,0.014049172102358254,1.414973347970818,0.019879204085892076,2.0,,,,,0.27053140096618356,,,,,,,,,,,,,,,,,,,,,
war,10,3,0.005017561465127948,6.773836744190109,0.006797628443743209,1.0,,,,0.06493506493506493,,,,,,,,,,,0.008620689655172414,,,,,,,,,0.047619047619047616,,
