,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32,DSI-33,DSI-34,DSI-35,DSI-36,DSI-37,DSI-38,DSI-39,DSI-40,DSI-41,DSI-42,DSI-43,DSI-44,DSI-45,DSI-46,DSI-47,DSI-48,DSI-49,DSI-50,DSI-51,DSI-52,DSI-53,DSI-54,DSI-55,DSI-56
world,7,internationalPolitics,6,0.0014391447368421052,0.9777236052888477,0.001407085780637733,1.0,,,,,,,,,,,,,,,,,,,,,0.025,0.030303030303030304,,,,,,,,,,0.034482758620689655,,,,,0.004739336492890996,,,,,,,,,0.015384615384615385,0.016129032258064516,,,,,,,,,,
new york,7,unitedStates,6,0.0014391447368421052,0.9777236052888477,0.001407085780637733,1.0,,,,,0.01282051282051282,0.005479452054794521,,0.015384615384615385,,,,,,,,,0.0035460992907801418,,,,,,,,,,,0.01694915254237288,,0.012987012987012988,,,,,,,,,,,,,,,,,,,,,,,,,,,
hopeHicks,7,trumpStaff,2,0.0014391447368421052,1.4548448600085102,0.002093732323203037,1.0,,,,,,0.01643835616438356,,,,,,0.019230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,7,education,1,0.0014391447368421052,1.7558748556724915,0.0025269580570944574,1.0,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oliviaNuzz,7,controversy,1,0.0014391447368421052,1.7558748556724915,0.0025269580570944574,1.0,,,,,,,,,,,,0.1346153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nicholasGaraufis,7,judicial,1,0.0014391447368421052,1.7558748556724915,0.0025269580570944574,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11864406779661017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tonyBaker,6,controversy,4,0.0012335526315789473,1.153814864344529,0.0014232913622670997,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.03389830508474576,,,,,,,,,,,,0.025,0.002369668246445498,,,0.038461538461538464,,,,,,,,,,,,,,,,,
physician,6,healthcare,5,0.0012335526315789473,1.0569048513364727,0.001303747760694662,1.0,,,0.019230769230769232,,,0.0027397260273972603,0.0016778523489932886,,,,,,,0.018518518518518517,,,,,,,,,,,,,,,,,,,,0.014492753623188406,,,,,,,,,,,,,,,,,,,,,,,
intelligence,6,intelligence,5,0.0012335526315789473,1.0569048513364727,0.001303747760694662,1.0,,,,,,,0.0016778523489932886,,,,,,,,,,,0.018867924528301886,,,,0.06060606060606061,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.010869565217391304,,,,,
borderPatrol,6,immigration,3,0.0012335526315789473,1.2787536009528289,0.0015774098695964171,1.0,,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02631578947368421,,,,,,,,,,,,,,,,,,,,,0.043478260869565216,,,,,
obamaAdministration,6,formerPresident,4,0.0012335526315789473,1.153814864344529,0.0014232913622670997,1.0,0.024193548387096774,,,,0.01282051282051282,0.0027397260273972603,,0.015384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lawEnforcement,6,lawEnforcement,3,0.0012335526315789473,1.2787536009528289,0.0015774098695964171,1.0,,,,,,,0.0016778523489932886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043478260869565216,,,,,0.012195121951219513
michaelCohen,6,trumpStaff,2,0.0012335526315789473,1.4548448600085102,0.0017946277056026028,1.0,,,,,,,,,,,,,,,,,0.0035460992907801418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11904761904761904,
coreyLewandowski,6,trumpStaff,1,0.0012335526315789473,1.7558748556724915,0.002165964048938106,1.0,,,,,,,,,,,,0.11538461538461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harassment,6,civilRights,3,0.0012335526315789473,1.2787536009528289,0.0015774098695964171,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.01694915254237288,,,,,,,,,,,,0.075,,,,0.038461538461538464,,,,,,,,,,,,,,,,,
bobNonini,6,republican,1,0.0012335526315789473,1.7558748556724915,0.002165964048938106,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10714285714285714,,,,,,,
tax,6,economy,4,0.0012335526315789473,1.153814864344529,0.0014232913622670997,1.0,,,,,,,0.0050335570469798654,,,,,,,,,,,0.018867924528301886,,,,,,,,,,,,,,,,,,,0.002369668246445498,,,,,,,,,,,,,,,,0.009009009009009009,,,,
god,6,religion,3,0.0012335526315789473,1.2787536009528289,0.0015774098695964171,1.0,,,,,,,,,,,,,,,,,0.0070921985815602835,,,,,,,,,,,,,0.012987012987012988,,,,,,,0.0071090047393364926,,,,,,,,,,,,,,,,,,,,
supplmentalNutritionAssistanceProgram,6,governmentProgram,1,0.0012335526315789473,1.7558748556724915,0.002165964048938106,1.0,,,,,,,,,,,,,,,,0.20689655172413793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dianneFienstein,6,democrat,1,0.0012335526315789473,1.7558748556724915,0.002165964048938106,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014218009478672985,,,,,,,,,,,,,,,,,,,,
economy,6,economy,4,0.0012335526315789473,1.153814864344529,0.0014232913622670997,1.0,,,,,,0.0027397260273972603,0.003355704697986577,,,,,,,,0.009900990099009901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018018018018018018,,,,
