concept,t_count,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32,DSI-33,DSI-34,DSI-35,DSI-36,DSI-37,DSI-38,DSI-39,DSI-40,DSI-41,DSI-42,DSI-43,DSI-44,DSI-45,DSI-46,DSI-47,DSI-48,DSI-49,DSI-50,DSI-51,DSI-52,DSI-53,DSI-54,DSI-55,DSI-56
lawEnforcement,77,16,0.015830592105263157,7.188309671335958,0.014153960788851597,1.0,0.08870967741935484,,,,,0.01643835616438356,0.011744966442953019,,0.05405405405405406,0.12371134020618557,,,0.05319148936170213,,,,0.0035460992907801418,,0.07142857142857142,0.057692307692307696,,,,,,,,,,,,,0.08695652173913043,0.043478260869565216,,,0.004739336492890996,,,,,,0.05714285714285714,,,,,,,0.08928571428571429,,0.043478260869565216,,,,,0.012195121951219513
media,124,44,0.025493421052631585,16.324011562589977,0.01777325368808287,1.0,0.07258064516129031,0.05714285714285714,0.019230769230769232,0.02,0.02564102564102564,0.043835616438356165,0.023489932885906038,,0.02702702702702703,,0.06060606060606061,0.07692307692307693,0.02127659574468085,0.07407407407407407,0.009900990099009901,0.034482758620689655,0.017730496453900707,,,,,,0.02,0.0847457627118644,,0.03333333333333333,0.01694915254237288,,0.015384615384615385,0.012987012987012988,0.02631578947368421,,0.06521739130434782,0.043478260869565216,0.011235955056179775,0.025,0.014218009478672987,,0.02631578947368421,0.038461538461538464,0.13043478260869565,0.03225806451612903,0.01904761904761905,0.022988505747126436,0.058823529411764705,0.015384615384615385,,,0.02040816326530612,0.017857142857142856,0.029411764705882353,0.03260869565217391,0.009009009009009009,0.05,0.0136986301369863,0.047619047619047616,0.04878048780487805
middleEast,24,5,0.004934210526315789,8.001223027978813,0.00812202154385791,1.0,,,,0.34,,,0.0016778523489932886,,,,,,,0.018518518518518517,0.009900990099009901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06153846153846154,,,,,,,,,,,
northSouthKorea,28,7,0.005756578947368421,4.012352061914168,0.006417735336669114,1.0,,,,,,0.0027397260273972603,0.0016778523489932886,,,,,,,,0.06930693069306931,,,,,,,,,,,,,,,,,0.27586206896551724,,,,,0.004739336492890996,,,,,,,,,0.06153846153846154,0.08064516129032258,,,,,,,,,,
opinionPolls,6,4,0.0012335526315789473,2.733598460961339,0.00168601878759951,4.0,,,,,,,0.006711409395973154,,,,,,,,,,0.0425531914893617,,,,,,,,,,,,,,,,,,,,0.009478672985781991,,,,,,,,,,,0.08163265306122448,,,,,,,,,
presidentDonaldTrump,300,42,0.061677631578947366,1.5874704252831011,0.008723706449803687,0.2,0.0032258064516129032,0.03428571428571429,0.026923076923076925,0.016,0.01282051282051282,0.02082191780821918,0.007382550335570469,0.03076923076923077,0.016216216216216217,,0.03636363636363637,0.0038461538461538464,,0.025925925925925925,0.047524752475247525,,0.011347517730496455,0.0037735849056603774,0.007142857142857143,,0.010000000000000002,,,,,,0.027118644067796613,0.006779661016949153,0.009230769230769232,0.002597402597402598,0.021052631578947368,0.03448275862068966,0.004347826086956522,0.005797101449275362,,,0.0037914691943127968,0.020000000000000004,0.042105263157894736,,0.017391304347826087,0.015053763440860216,0.00761904761904762,0.020689655172413793,0.00784313725490196,0.027692307692307697,0.0032258064516129032,,,,0.05882352941176471,0.017391304347826087,0.0036036036036036037,0.06999999999999999,0.021917808219178082,0.023809523809523808,0.024390243902439025
privacy,20,5,0.004111842105263158,4.012352061914168,0.0054752507346609094,1.0,,,,,,,,,,,,0.019230769230769232,,,,0.06896551724137931,,,,,,,,,,,,,0.16923076923076924,,,,,,,,0.011848341232227489,,,,,,,,,,,,,,,,0.009009009009009009,,,,
racialTension,2,1,0.00041118421052631577,1.7558748556724915,0.0007219880163127021,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1694915254237288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
religion,23,6,0.004728618421052631,11.035851484604134,0.0072962521374717055,5.0,,,,,,0.0136986301369863,,,,,,,,,,,0.07092198581560283,,,,,,,,,,,,,0.06493506493506494,,,,,,,0.17772511848341227,,,,0.21739130434782608,,,0.05747126436781609,,,,,,,,,,,,,
republican,133,19,0.02734375000000001,27.47734813338704,0.03241366334576482,0.2,0.0032258064516129032,,0.0019230769230769232,,,0.0005479452054794521,0.00906040268456376,,,,,,0.01276595744680851,,,,0.014893617021276596,,,,0.010000000000000002,,,,,,,,,,,,0.021739130434782608,,,0.005000000000000001,0.007582938388625591,0.004,,0.007692307692307693,,0.004301075268817205,0.013333333333333334,0.004597701149425287,,0.015384615384615385,,,,0.02857142857142857,,,0.0036036036036036037,,0.06027397260273973,,
