,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25
firing,8,controversy,2,0.004014049172102358,1.1139433523068367,0.004471423391096184,1.0,,,,,,,,,,,,,,0.02040816326530612,0.05172413793103448,,,,,,,,,,,
shaunaDaly,8,democrat,1,0.004014049172102358,1.414973347970818,0.005679772595969163,1.0,,0.0299625468164794,,,,,,,,,,,,,,,,,,,,,,,,
kamalaHarris,7,democrat,1,0.0035122930255895636,1.414973347970818,0.004969801021473019,1.0,,,,,,,0.19444444444444445,,,,,,,,,,,,,,,,,,,
johnHuber,7,fbiMisconduct,1,0.0035122930255895636,1.414973347970818,0.004969801021473019,1.0,,,,,,,,,,,,,,,,,,,,,0.1044776119402985,,,,,
new york,7,unitedStates,5,0.0035122930255895636,0.7160033436347992,0.002514813550147313,1.0,,0.00749063670411985,,,,,,0.02564102564102564,,0.044444444444444446,,,,,,,,,,,,0.009345794392523364,,0.011904761904761904,,
metoo movement,7,civilRights,1,0.0035122930255895636,1.414973347970818,0.004969801021473019,1.0,,,,,,,,,,,,0.07216494845360824,,,,,,,,,,,,,,
investigation,7,russiaElectionInterference,3,0.0035122930255895636,0.9378520932511555,0.0032940113661606065,1.0,,,,,0.004830917874396135,,,,,,,,,0.030612244897959183,0.02586206896551724,,,,,,,,,,,
russia,7,russiaElectionInterference,1,0.0035122930255895636,1.414973347970818,0.004969801021473019,1.0,,0.026217228464419477,,,,,,,,,,,,,,,,,,,,,,,,
congress,7,government,5,0.0035122930255895636,0.7160033436347992,0.002514813550147313,1.0,,,,,0.004830917874396135,,,,,,,,0.020833333333333332,0.02040816326530612,,,0.034482758620689655,,,,0.029850746268656716,,,,,
michaelScrenock,7,republican,2,0.0035122930255895636,1.1139433523068367,0.0039124954672091605,1.0,,,,,,,,,,,,,,,,,,,,,,0.04672897196261682,0.03278688524590164,,,
immigration,6,immigration,3,0.0030105368790767687,0.9378520932511555,0.002823438313851948,1.0,,,,,0.004830917874396135,,,,,,,,,,,,,,,0.03125,,,,0.047619047619047616,,
georgeWBush,6,formerPresident,5,0.0030105368790767687,0.7160033436347992,0.0021555544715548395,1.0,,,,0.025974025974025976,,,,,,,,,,,,,,,0.01694915254237288,0.03125,,,,0.011904761904761904,0.010101010101010102,
jeffFlake,6,republican,1,0.0030105368790767687,1.414973347970818,0.004259829446976873,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.06060606060606061,
