,DSI,link,title
56,DSI-56,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/znik9b4vRBk/index.html,Texas woman sentenced to prison for voting illegally in 2016 presidential election
57,DSI-57,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/w40vo5GgxFo/index.html,Arnold Schwarzenegger has heart surgery
58,DSI-58,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/spXLy-B80TA/index.html,Trump promise to get out of Syria 'very soon' could be a win for Russia
59,DSI-59,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/xMwkGEPXsSs/index.html,US and British troops killed in Syria blast
60,DSI-60,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/RCz8Z5gfG6E/index.html,Gloria Allred withdraws from Summer Zervos' case against Trump
61,DSI-61,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/4tJ427gOTIU/index.html,"Top United Nations official 'forced himself on me,' employee says"
62,DSI-62,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/XQStuiA3ZvI/index.html,Hillary Clinton cites sexism in criticism she should exit political stage
63,DSI-63,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/iJ6Uz9An2i8/index.html,Suspected Russian hacker extradited to US
64,DSI-64,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/k-MyWZL3v34/index.html,Hillary Clinton re-emerges as GOP's reliable boogeyman
65,DSI-65,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/CpuA7OeFsj4/index.html,"Senator: Pruitt security included Disneyland, Rose Bowl trips"
66,DSI-66,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/aLPQyUk-2mU/index.html,David Hogg rejects Laura Ingraham's apology for mocking tweet
67,DSI-67,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/OnbCCfi6fJ4/index.html,Trump and 'Roseanne' are making a conservative case for representation in media
68,DSI-68,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/ck9tez40msw/index.html,Women seize on their past abuse to fuel political ambition
69,DSI-69,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/KmcthDELZGs/index.html,David Shulkin wants to tell his side of the story
70,DSI-70,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/zXbPswQ4Lcw/index.html,Federal investigators question Ted Malloch in special counsel probe
71,DSI-71,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/LJzUumOPTZE/index.html,Trump designates April 'Second Chance Month' for people with criminal records
72,DSI-72,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/hXiLQV1BSRE/index.html,"WaPo: WH office that vets appointees inexperienced, understaffed, aides played drinking game in office"
73,DSI-73,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/C0NfzeTB38c/index.html,White House frustrated with EPA's Pruitt
74,DSI-74,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/rkqYE07ygp0/index.html,On board the 'Doomsday' plane that can wage nuclear war
75,DSI-75,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/wJ8Kvqw4OeM/index.html,How Steve Bannon used Cambridge Analytica to further his alt-right vision for America
76,DSI-76,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/JvHmr8s3yxM/index.html,New footage shows Kim Jong Un holding court inside train
77,DSI-77,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/QKpw6-UwXBE/index.html,20 major news stories you might have forgotten about this week
78,DSI-78,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/VUc7-W10zU8/index.html,Trump declares April National Sexual Assault Awareness Month
79,DSI-79,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/rxRahKWvgP8/index.html,Melania Trump Rides to Air Force One solo
80,DSI-80,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/yd5Jd-xJyPg/index.html,Trump embraces his instincts at a key global moment
81,DSI-81,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/tkg20O2zx6A/index.html,Trump: 'NO MORE DACA DEAL'
82,DSI-82,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/pKdYgAD27b0/index.html,China hits the United States with tariffs on $3 billion of exports
83,DSI-83,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/-IGDG6BHFeM/index.html,"CBS: Trump presidential campaign spent more than $150,000 on Amazon"
84,DSI-84,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/OA7Aa-yKmFo/index.html,Trump vs. Amazon: Let's set the record straight
85,DSI-85,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/cBfq6c6u-Rs/index.html,#2020Vision: Biden a popular 2020 pick; Holder plans early 2019 decision; Harris schedules several big appearances
86,DSI-86,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/gGV9vqZPqnM/index.html,The top 7 stories to know going into the week
87,DSI-87,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/RJmZ1kcFVdk/index.html,Anthony Kennedy: Will he stay or will he go?
88,DSI-88,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/KsaVdhh8yNg/index.html,Steve Scalise's fundraising prowess and Paul Ryan
89,DSI-89,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/-yR7CvEmmbs/index.html,Ted Nugent calls Parkland survivors 'liars' and 'soulless' in interview
90,DSI-90,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/NmocjZaFjYU/index.html,Immigrant 'caravan' heading to US-Mexico border sparks Trump's concern
91,DSI-91,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/DyQ8kwxafJk/index.html,Fired VA secretary David Shulkin declines to fully endorse Trump's pick to replace him
92,DSI-92,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/DTYhtldS3AU/index.html,New book alleges Kellyanne Conway is the 'No. 1 leaker'
93,DSI-93,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/Rb23PlfjFHI/index.html,Internal FBI report shows discrepancy between McCabe and Comey accounts
94,DSI-94,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/KQ4B7qd0NSg/index.html,"Trump continues attacks on Amazon, Washington Post"
95,DSI-95,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/TBlQ7quxROI/index.html,Who stands to gain if Trump pulls the US out of Syria?
96,DSI-96,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/qXGHTzZcc1k/index.html,White House hatches plans for 140th Egg Roll
97,DSI-97,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/HyZSMjSuYxI/index.html,Trump launches a new website to solicit opioid addiction stories
98,DSI-98,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/naj9zi1aYso/index.html,Trump appointee at Defense Department resigns after CNN reveals birther postings
99,DSI-99,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/Frm-kbEvPJU/index.html,WaPo: Mueller told Trump's lawyers the President isn't a criminal target
100,DSI-100,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/7DsZGe1nyiI/index.html,"Dutch lawyer is first person to be sentenced in Mueller probe, gets 30 days in prison"
101,DSI-101,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/uerIf5MPROY/index.html,Rosenstein gets new top deputy for Russia probe
102,DSI-102,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/y8L7Y24bjC8/index.html,Walker warns that GOP is 'at risk of a #BlueWave' after Democratic win in Wisconsin court race
103,DSI-103,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/VNT9m4UFtlI/index.html,DHS confirms it has evidence of mobile snooping devices around DC
104,DSI-104,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/MHwc5Km_Ksg/index.html,Trump on immigration: Fact check
105,DSI-105,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/zS2GQbJb7Lo/index.html,"For Trump, Syria policy is all about the economy -- and private jumbo jets"
106,DSI-106,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/4DvqgJuplM4/index.html,"Bush and Obama sent troops to the border, too"
107,DSI-107,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/hLku9G89xYw/index.html,California lawmakers monitoring YouTube shooting
108,DSI-108,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/_5FHfAhkRVU/2GuZTGN,"US proposes tariffs on 1,300 Chinese goods"
109,DSI-109,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/8RwuoXR3HxA/index.html,Mueller authorized by DOJ to investigate alleged Manafort collusion with Russian government
110,DSI-110,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/PQW7Lxq68GU/index.html,Stormy Daniels requests 'suspicious' bank information related to hush payment
111,DSI-111,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/b20q3CDzF3w/index.html,Jill McCabe wanted a 'chance to tell her story'
112,DSI-112,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/8OkQhtfVpQo/index.html,The kiss of death in Trump's Cabinet is disagreeing with the boss
113,DSI-113,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/XYtkhWy4Hck/index.html,Trump: 'We're going to be guarding our border with the military'
114,DSI-114,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/P_lvfkE9ePE/index.html,EPA's Pruitt fulfilling Trump's anti-regulatory agenda
115,DSI-115,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/B-OgIoQOqus/index.html,Immigration meeting with Cabinet at White House on Tuesday
116,DSI-116,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/7jJlZhD6myw/index.html,Russia and the US can replace expelled diplomats
117,DSI-117,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/skjDdvYyWEQ/index.html,Revisiting the Lorraine Motel 50 years after MLK's assassination
118,DSI-118,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/VO3ROMCMgqM/index.html,Pruitt tension leads to Cabinet shuffle déjà vu
119,DSI-119,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/7VBRAZSgeEY/index.html,"White House confirms Trump, Putin discussed Washington summit"
120,DSI-120,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/e8ZbFK-n7nM/index.html,Trump administration nominates Treasury Department deputy
121,DSI-121,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/GMKZZuQ9TkM/index.html,Donald Trump has met the enemy on Russia collusion: It's his own Justice Department
122,DSI-122,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/VkZ996FS5Oc/index.html,Trump embraces his impulses in ever-chaotic Oval Office
123,DSI-123,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/A6VLV5I0Cw4/index.html,The definitive -- and updated! -- rankings of Donald Trump's nicknames for his political enemies
124,DSI-124,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/htj0wswvYyY/index.html,Trump declares 'nobody has been tougher on Russia'
125,DSI-125,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/lYgD-Z5VTEY/index.html,Trump is obsessed with going 'nuclear' in the Senate
